event_type,day_of_week,time_slot,weather,marketing_effort,social_media_reach,venue_capacity,is_holiday,competing_event,past_avg_attendance,attendance
Workshop,Friday,Evening,Cloudy,Medium,1666,1000,0,0,267.6,294
Seminar,Tuesday,Afternoon,Sunny,Low,1641,500,0,0,20.0,100
Workshop,Thursday,Evening,Sunny,High,3784,200,0,1,52.9,110
Cultural,Thursday,Morning,Rainy,High,7325,2000,0,0,1146.8,906
Workshop,Friday,Evening,Sunny,Medium,969,150,0,0,106.8,150
Fest,Sunday,Morning,Rainy,High,5263,150,0,0,122.0,150
Seminar,Monday,Morning,Cloudy,Low,100,1000,0,0,143.0,91
Sports,Monday,Evening,Sunny,Medium,1686,2000,1,1,896.2,796
Fest,Friday,Evening,Cloudy,Low,1424,200,0,1,150.5,200
Sports,Monday,Evening,Sunny,Low,4176,200,0,0,100.5,136
Fest,Friday,Evening,Cloudy,Medium,3771,300,0,1,269.0,300
Seminar,Saturday,Afternoon,Rainy,Medium,5285,1000,1,0,209.6,197
Fest,Monday,Morning,Rainy,Low,880,1500,0,0,1339.1,724
Technical,Thursday,Morning,Sunny,Low,2472,1000,0,0,428.6,403
Fest,Sunday,Morning,Sunny,Medium,100,150,0,0,165.0,150
Technical,Sunday,Afternoon,Sunny,Medium,2121,750,0,1,292.2,326
Sports,Saturday,Morning,Rainy,Medium,3518,300,0,0,120.6,193
Cultural,Monday,Evening,Sunny,Low,1670,1000,0,0,512.5,481
Technical,Thursday,Morning,Sunny,Low,4019,500,0,0,259.4,251
Fest,Monday,Evening,Rainy,High,4093,1500,0,0,1180.1,1500
Seminar,Tuesday,Afternoon,Sunny,Medium,839,2000,0,0,448.5,241
Workshop,Wednesday,Evening,Cloudy,Low,5709,750,1,0,197.8,219
Seminar,Saturday,Morning,Cloudy,Medium,3490,500,0,1,20.0,70
Fest,Wednesday,Morning,Rainy,Medium,3013,500,0,1,374.5,296
Technical,Wednesday,Afternoon,Cloudy,High,1732,200,0,1,94.2,149
Cultural,Tuesday,Morning,Cloudy,Low,1214,750,0,0,443.4,351
Technical,Friday,Afternoon,Sunny,Medium,6161,300,0,1,186.8,216
Cultural,Sunday,Evening,Sunny,Medium,498,750,0,0,358.9,600
Technical,Friday,Morning,Sunny,High,6827,300,0,0,83.1,201
Sports,Thursday,Afternoon,Sunny,Low,2527,500,0,0,215.4,257
Cultural,Monday,Evening,Sunny,Medium,978,2000,1,0,1155.1,1754
Sports,Thursday,Afternoon,Sunny,High,5564,2000,0,0,933.2,1266
Fest,Thursday,Morning,Sunny,Low,910,500,0,0,381.2,500
Cultural,Thursday,Evening,Sunny,High,6146,100,0,0,89.1,100
Cultural,Monday,Evening,Cloudy,Medium,2269,200,0,1,220.0,200
Cultural,Wednesday,Morning,Sunny,Low,3283,150,0,0,156.3,150
Seminar,Tuesday,Afternoon,Sunny,High,7402,2000,0,1,447.6,283
Seminar,Monday,Afternoon,Sunny,Medium,2488,200,1,0,121.7,143
